"CD_ORGAO_EMPRESA","NM_ORGAO_EMPRESA"
1,MATRIZ
2,ITAJAÍ
3,BALNEÁRIO CAMBORIU
4,FLORIANÓPOLIS
5,TUBARÃO
6,CRICIÚMA
7,LAGES
8,TIMBÓ
9,XANXERÊ
10,SÃO JOAQUIM
11,BIGUAÇU
12,GAROPABA
13,SANTO AMARO DA IMPERATRIZ
14,SÃO JOSÉ
15,MORRO DA FUMAÇA
16,LAURO MÜLLER
17,IÇARA
18,IMBITUBA
19,NOVA VENEZA
20,PORTO BELO
21,PALHOÇA
22,CHAPECÓ
23,URUBICI
24,MONDAÍ
25,MAFRA
26,BARRA VELHA
27,CANOINHAS
28,SÃO MIGUEL D'OESTE
29,ABELARDO LUZ
30,AGROLÂNDIA
31,AGRONÔMICA
32,AGUA DOCE
33,AGUAS DE CHAPECÓ
34,AGUAS MORNAS
35,ALFREDO WAGNER
36,ANCHIETA
37,ANGELINA
38,ANITA GARIBALDI
40,ANTÔNIO CARLOS
41,ARAQUARI
43,ARMAZÉM
44,ARROIO TRINTA
45,ASCURRA
46,ATALANTA
47,AURORA
48,BENEDITO NOVO
50,BOM JARDIM DA SERRA
51,BOM RETIRO
52,BOTUVERÁ
53,BRAÇO DO NORTE
55,CAÇADOR
56,CAIBI
57,CAMBORIU
58,CAMPO ALEGRE
59,CAMPO BELO DO SUL
60,CAMPO ERÊ
62,CANELINHA
64,CATANDUVAS
65,CAXAMBU DO SUL
66,CONCÓRDIA
67,CORONEL FREITAS
68,CORUPÁ
69,CUNHA PORÃ
70,CURITIBANOS
71,DESCANSO
72,DIONÍSIO CERQUEIRA
73,DONA EMMA
74,ERVAL VELHO
75,FAXINAL DOS GUEDES
76,FRAIBURGO
77,GALVÃO
78,GARUVA
82,GRAVATAL
83,GUABIRUBA
84,GUARACIABA
85,GUARAMIRIM
86,GUARUJÁ DO SUL
88,IBICARÉ
89,IBIRAMA
90,ILHOTA
92,IMBUIA
93,INDAIAL
94,IPIRA
95,IPUMIRIM
96,IRANI
97,IRINEÓPOLIS
98,ITÁ
99,ITAIÓPOLIS
100,ITAPEMA
102,ITUPORANGA
103,JABORÁ
108,JOINVILLE
109,LACERDÓPOLIS
110,LAGUNA
111,LAURENTINO
112,LEBON RÉGIS
113,LEOBERTO LEAL
114,LONTRAS
115,LUÍS ALVES
116,MAJOR GERCINO
117,MAJOR VIEIRA
118,MARACAJÁ
119,MARAVILHA
120,MASSARANDUBA
121,MATOS COSTA
122,MELEIRO
123,MODELO
124,MONTE CASTELO
125,NAVEGANTES
126,NOVA ERECHIM
130,PALMA SOLA
131,PALMITOS
132,PAPANDUVA
133,PAULO LOPES
135,PENHA
136,PERITIBA
137,PETROLÂNDIA
138,BALNEÁRIO PICARRAS
139,PINHALZINHO
140,PINHEIRO PRETO
141,PIRATUBA
143,PONTE ALTA
144,PONTE SERRADA
145,PORTO UNIÃO
146,POUSO REDONDO
147,PRAIA GRANDE
148,PRESIDENTE CASTELO BRANCO
149,PRESIDENTE GETÚLIO
150,PRESIDENTE NEREU
151,QUILOMBO
152,RANCHO QUEIMADO
153,RIO DAS ANTAS
154,RIO DO CAMPO
155,RIO DO OESTE
156,RIO DO SUL
157,RIO DOS CEDROS
158,RIO FORTUNA
160,RODEIO
161,ROMELÂNDIA
162,SALETE
163,SALTO VELOSO
164,SANTA CECÍLIA
165,SANTA ROSA DE LIMA
167,SÃO BONIFÁCIO
168,SÃO CARLOS
169,SÃO DOMINGOS
170,SÃO FRANCISCO DO SUL
171,SÃO JOÃO BATISTA
172,SÃO JOÃO DO SUL
173,SÃO JOSÉ DO CEDRO
174,SÃO JOSÉ DO CERRITO
175,SÃO LOURENÇO D'OESTE
177,SÃO MARTINHO
179,SCHROEDER
180,SEARA
181,SIDERÓPOLIS
182,SOMBRIO
183,TAIÓ
184,TANGARÁ
187,TRÊS BARRAS
188,TREZE DE MAIO
189,TREZE TILIAS
190,TROMBUDO CENTRAL
191,TURVO
193,VARGEÃO
194,VIDAL RAMOS
195,VIDEIRA
196,WITMARSUM
197,XAVANTINA
198,XAXIM
201,OTACÍLIO COSTA
203,BALNEÁRIO GAIVOTA
204,CORREIA PINTO
205,FORQUILHINHA
206,APIÚNA
209,BOM JESUS DO OESTE
211,IOMERÊ
212,PONTE ALTA DO NORTE
213,SÃO CRISTÓVÃO DO SUL
214,URUPEMA
216,VARGEM BONITA
217,CUNHATAI
221,CERRO NEGRO
222,JUPIÁ
223,BOCAINA DO SUL
228,SÃO BERNARDINO
230,CELSO RAMOS
231,ERMO
232,SALTINHO
234,IPORÃ DO OESTE
235,LINDÓIA DO SUL
236,RIQUEZA
238,ITAPOÁ
243,PASSOS MAIA
245,SANTA TEREZINHA
247,BANDEIRANTE
252,BALNEÁRIO BARRA DO SUL
254,CAPÃO ALTO
255,PAINEL
256,PALMEIRAS
258,MACIEIRA
259,GUATAMBU
260,CORONEL MARTINS
261,MAREMA
263,JOSÉ BOITEUX
264,MIRIM DOCE
266,CAPIVARI DE BAIXO
267,BARRA BONITA
268,BOMBINHAS
269,PRINCESA
271,IBIAM
272,AGUAS FRIAS
273,BELA VISTA DO TOLDO
274,IRACEMINHA
276,DOUTOR PEDRINHO
277,PARAÍSO
279,CALMON
281,VÍTOR MEIRELLES
283,FORMOSA DO SUL
284,SÃO JOÃO DO ITAPERIU
285,JARDINÓPOLIS
286,OURO VERDE
287,TIMBÓ GRANDE
289,NOVO HORIZONTE
291,IPUAÇU
502,ITAJAÍ
503,BALNEÁRIO CAMBORIU
504,FLORIANÓPOLIS
505,TUBARÃO
506,CRICIÚMA
507,LAGES
508,TIMBÓ
509,XANXERÊ
510,SÃO JOAQUIM
511,BIGUAÇU
512,GAROPABA
513,SANTO AMARO DA IMPERATRIZ
514,SÃO JOSÉ
515,MORRO DA FUMAÇA
516,LAURO MÜLLER
517,IÇARA
518,IMBITUBA
519,NOVA VENEZA
520,PORTO BELO
521,PALHOÇA
522,CHAPECÓ
523,URUBICI
524,MONDAÍ
525,MAFRA
526,BARRA VELHA
527,CANOINHAS
528,SÃO MIGUEL DO OESTE
529,ABELARDO LUZ
530,AGROLÂNDIA
531,AGRONÔMICA
532,AGUA DOCE
533,AGUAS DE CHAPECÓ
534,AGUAS MORNAS
535,ALFREDO WAGNER
536,ANCHIETA
537,ANGELINA
538,ANITA GARIBALDI
540,ANTÔNIO CARLOS
541,ARAQUARI
543,ARMAZÉM
544,ARROIO TRINTA
545,ASCURRA
546,ATALANTA
547,AURORA
548,BENEDITO NOVO
550,BOM JARDIM DA SERRA
551,BOM RETIRO
552,BOTUVERÁ
553,BRAÇO DO NORTE
555,CAÇADOR
556,CAIBI
557,CAMBORIU
558,CAMPO ALEGRE
559,CAMPO BELO DO SUL
560,CAMPO ERÊ
562,CANELINHA
564,CATANDUVAS
565,CAXAMBU DO SUL
566,CONCÓRDIA
567,CORONEL FREITAS
568,CORUPÁ
569,CUNHA PORÃ
570,CURITIBANOS
571,DESCANSO
572,DIONÍSIO CERQUEIRA
573,DONA EMMA
574,ERVAL VELHO
575,FAXINAL DOS GUEDES
576,FRAIBURGO
577,GALVÃO
578,GARUVA
582,GRAVATAL
583,GUABIRUBA
584,GUARACIABA
585,GUARAMIRIM
586,GUARUJÁ DO SUL
588,IBICARÉ
589,IBIRAMA
590,ILHOTA
591,IMARUÍ
592,IMBUIA
593,INDAIAL
594,IPIRA
595,IPUMIRIM
596,IRANI
597,IRINEÓPOLIS
598,ITÁ
599,ITAIÓPOLIS
600,ITAPEMA
602,ITUPORANGA
603,JABORÁ
604,BOM JESUS
605,UNIÃO DO OESTE
608,JOINVILLE
609,LACERDÓPOLIS
610,LAGUNA
611,LAURENTINO
612,LEBON RÉGIS
613,LEOBERTO LEAL
614,LONTRAS
615,LUIZ ALVES
616,MAJOR GERCINO
617,MAJOR VIEIRA
618,MARACAJÁ
619,MARAVILHA
620,MASSARANDUBA
621,MATOS COSTA
622,MELEIRO
623,MODELO
624,MONTE CASTELO
625,NAVEGANTES
626,NOVA ERECHIM
630,PALMA SOLA
631,PALMITOS
632,PAPANDUVA
633,PAULO LOPES
635,PENHA
636,PERITIBA
637,PETROLÂNDIA
638,BALNEÁRIO PICARRAS
639,PINHALZINHO
640,PINHEIRO PRETO
641,PIRATUBA
643,PONTE ALTA
644,PONTE SERRADA
645,PORTO UNIÃO
646,POUSO REDONDO
647,PRAIA GRANDE
648,PRESIDENTE CASTELLO BRANCO
649,PRESIDENTE GETÚLIO
650,PRESIDENTE NEREU
651,QUILOMBO
652,RANCHO QUEIMADO
653,RIO DAS ANTAS
654,RIO DO CAMPO
655,RIO DO OESTE
656,RIO DO SUL
657,RIO DOS CEDROS
658,RIO FORTUNA
660,RODEIO
661,ROMELÂNDIA
662,SALETE
663,SALTO VELOSO
664,SANTA CECÍLIA
665,SANTA ROSA DE LIMA
667,SÃO BONIFÁCIO
668,SÃO CARLOS
669,SÃO DOMINGOS
670,SÃO FRANCISCO DO SUL
671,SÃO JOÃO BATISTA
672,SÃO JOÃO DO SUL
673,SÃO JOSÉ DO CEDRO
674,SÃO JOSÉ DO CERRITO
675,SÃO LOURENÇO DO OESTE
677,SÃO MARTINHO
679,SCHROEDER
680,SEARA
681,SIDERÓPOLIS
682,SOMBRIO
683,TAIÓ
684,TANGARÁ
687,TRÊS BARRAS
688,TREZE DE MAIO
689,TREZE TILIAS
690,TROMBUDO CENTRAL
691,TURVO
693,VARGEÃO
694,VIDAL RAMOS
695,VIDEIRA
696,WITMARSUM
697,XAVANTINA
698,XAXIM
701,OTACÍLIO COSTA
703,BALNEÁRIO GAIVOTA
704,CORREIA PINTO
705,FORQUILHINHA
706,APIÚNA
709,BOM JESUS DO OESTE
711,IOMERÊ
712,PONTE ALTA DO NORTE
713,SÃO CRISTÓVÃO DO SUL
714,URUPEMA
715,CHAPADÃO DO LAGEADO
716,VARGEM BONITA
717,CUNHATAI
721,CERRO NEGRO
722,JUPIÁ
723,BOCAINA DO SUL
728,SÃO BERNARDINO
730,CELSO RAMOS
731,ERMO
732,SALTINHO
734,IPORÃ DO OESTE
735,LINDÓIA DO SUL
736,RIQUEZA
738,ITAPOÁ
743,PASSOS MAIA
745,SANTA TEREZINHA
747,BANDEIRANTE
748,BELMONTE
751,PASSO DE TORRES
752,BALNEÁRIO BARRA DO SUL
754,CAPÃO ALTO
755,PAINEL
756,PALMEIRA
758,MACIEIRA
759,GUATAMBU
760,CORONEL MARTINS
761,MAREMA
763,JOSÉ BOITEUX
764,MIRIM DOCE
766,CAPIVARI DE BAIXO
767,BARRA BONITA
768,BOMBINHAS
769,PRINCESA
771,IBIAM
772,AGUAS FRIAS
773,BELA VISTA DO TOLDO
774,IRACEMINHA
776,DOUTOR PEDRINHO
777,PARAÍSO
779,CALMON
781,VITOR MEIRELES
783,FORMOSA DO SUL
784,SÃO JOÃO DO ITAPERIU
785,JARDINÓPOLIS
786,OURO VERDE
787,TIMBÓ GRANDE
789,NOVO HORIZONTE
791,IPUAÇU
795,FLORIANÓPOLIS COSTA NORTE
796,FLORIANÓPOLIS COSTA SUL/LESTE
797,PRAIA DO RINCÃO
798,PESCARIA BRAVA
799,LAJEADO GRANDE
800,TIGRINHOS
801,BARRACÃO
802,BARRACÃO
803,ENTRE RIOS
804,SANTA TEREZINHA DO PROGRESSO
901,PALHOÇA CLIENTE
902,PENHA CLIENTE
903,TRÊS BARRAS CLIENTE
904,IÇARA CLIENTE
905,IMBITUBA CLIENTE
906,BOMBINHAS CLIENTE
907,MORRO DA FUMAÇA CLIENTE
908,ALTO BELA VISTA CLIENTE
